GEO_ID,NAME,P1_001N
1000000US361090003001013,"Block 1013, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001014,"Block 1014, Block Group 1, Census Tract 3, Tompkins County, New York",3
1000000US361090003001015,"Block 1015, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001016,"Block 1016, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001017,"Block 1017, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001018,"Block 1018, Block Group 1, Census Tract 3, Tompkins County, New York",16
1000000US361090003001019,"Block 1019, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001020,"Block 1020, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001021,"Block 1021, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001022,"Block 1022, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001023,"Block 1023, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001024,"Block 1024, Block Group 1, Census Tract 3, Tompkins County, New York",6
1000000US361090003001025,"Block 1025, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001026,"Block 1026, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001027,"Block 1027, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001028,"Block 1028, Block Group 1, Census Tract 3, Tompkins County, New York",278
1000000US361090003001029,"Block 1029, Block Group 1, Census Tract 3, Tompkins County, New York",99
1000000US361090003001030,"Block 1030, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001031,"Block 1031, Block Group 1, Census Tract 3, Tompkins County, New York",8
1000000US361090003001032,"Block 1032, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001033,"Block 1033, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001034,"Block 1034, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001035,"Block 1035, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001036,"Block 1036, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001037,"Block 1037, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001038,"Block 1038, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001039,"Block 1039, Block Group 1, Census Tract 3, Tompkins County, New York",4
1000000US361090003001040,"Block 1040, Block Group 1, Census Tract 3, Tompkins County, New York",173
1000000US361090003001041,"Block 1041, Block Group 1, Census Tract 3, Tompkins County, New York",104
1000000US361090003001042,"Block 1042, Block Group 1, Census Tract 3, Tompkins County, New York",1975
1000000US361090003001043,"Block 1043, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090004001000,"Block 1000, Block Group 1, Census Tract 4, Tompkins County, New York",1
1000000US361090004001001,"Block 1001, Block Group 1, Census Tract 4, Tompkins County, New York",46
1000000US361090004001002,"Block 1002, Block Group 1, Census Tract 4, Tompkins County, New York",10
1000000US361090004001003,"Block 1003, Block Group 1, Census Tract 4, Tompkins County, New York",12
1000000US361090004001004,"Block 1004, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001005,"Block 1005, Block Group 1, Census Tract 4, Tompkins County, New York",10
1000000US361090004001006,"Block 1006, Block Group 1, Census Tract 4, Tompkins County, New York",18
1000000US361090004001007,"Block 1007, Block Group 1, Census Tract 4, Tompkins County, New York",350
1000000US361090004001008,"Block 1008, Block Group 1, Census Tract 4, Tompkins County, New York",563
1000000US361090004001009,"Block 1009, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001010,"Block 1010, Block Group 1, Census Tract 4, Tompkins County, New York",244
1000000US361090004001011,"Block 1011, Block Group 1, Census Tract 4, Tompkins County, New York",32
1000000US361090004001012,"Block 1012, Block Group 1, Census Tract 4, Tompkins County, New York",912
1000000US361090004001013,"Block 1013, Block Group 1, Census Tract 4, Tompkins County, New York",2245
1000000US361090004001014,"Block 1014, Block Group 1, Census Tract 4, Tompkins County, New York",147
1000000US361090004001015,"Block 1015, Block Group 1, Census Tract 4, Tompkins County, New York",39
1000000US361090004001016,"Block 1016, Block Group 1, Census Tract 4, Tompkins County, New York",190
1000000US361090004001017,"Block 1017, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001018,"Block 1018, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001019,"Block 1019, Block Group 1, Census Tract 4, Tompkins County, New York",25
1000000US361090004001020,"Block 1020, Block Group 1, Census Tract 4, Tompkins County, New York",7
1000000US361090004001021,"Block 1021, Block Group 1, Census Tract 4, Tompkins County, New York",85
1000000US361090004001022,"Block 1022, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001023,"Block 1023, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001024,"Block 1024, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001025,"Block 1025, Block Group 1, Census Tract 4, Tompkins County, New York",17
1000000US361090004001026,"Block 1026, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001027,"Block 1027, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001028,"Block 1028, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001029,"Block 1029, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001030,"Block 1030, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001031,"Block 1031, Block Group 1, Census Tract 4, Tompkins County, New York",15
1000000US361090005001000,"Block 1000, Block Group 1, Census Tract 5, Tompkins County, New York",0
1000000US361090005001001,"Block 1001, Block Group 1, Census Tract 5, Tompkins County, New York",0
1000000US361090005001002,"Block 1002, Block Group 1, Census Tract 5, Tompkins County, New York",590
1000000US361090005001003,"Block 1003, Block Group 1, Census Tract 5, Tompkins County, New York",56
1000000US361090005001004,"Block 1004, Block Group 1, Census Tract 5, Tompkins County, New York",72
1000000US361090005001005,"Block 1005, Block Group 1, Census Tract 5, Tompkins County, New York",46
1000000US361090005001006,"Block 1006, Block Group 1, Census Tract 5, Tompkins County, New York",31
1000000US361090005001007,"Block 1007, Block Group 1, Census Tract 5, Tompkins County, New York",54
1000000US361090005001008,"Block 1008, Block Group 1, Census Tract 5, Tompkins County, New York",203
1000000US361090005001009,"Block 1009, Block Group 1, Census Tract 5, Tompkins County, New York",30
1000000US361090005001010,"Block 1010, Block Group 1, Census Tract 5, Tompkins County, New York",73
1000000US361090005001011,"Block 1011, Block Group 1, Census Tract 5, Tompkins County, New York",49
1000000US361090005002000,"Block 2000, Block Group 2, Census Tract 5, Tompkins County, New York",0
1000000US361090005002001,"Block 2001, Block Group 2, Census Tract 5, Tompkins County, New York",23
1000000US361090005002002,"Block 2002, Block Group 2, Census Tract 5, Tompkins County, New York",39
1000000US361090005002003,"Block 2003, Block Group 2, Census Tract 5, Tompkins County, New York",0
1000000US361090005002004,"Block 2004, Block Group 2, Census Tract 5, Tompkins County, New York",205
1000000US361090005002005,"Block 2005, Block Group 2, Census Tract 5, Tompkins County, New York",458
1000000US361090005002006,"Block 2006, Block Group 2, Census Tract 5, Tompkins County, New York",173
1000000US361090005002007,"Block 2007, Block Group 2, Census Tract 5, Tompkins County, New York",45
1000000US361090005002008,"Block 2008, Block Group 2, Census Tract 5, Tompkins County, New York",99
1000000US361090005002009,"Block 2009, Block Group 2, Census Tract 5, Tompkins County, New York",96
1000000US361090005003000,"Block 3000, Block Group 3, Census Tract 5, Tompkins County, New York",18
1000000US361090005003001,"Block 3001, Block Group 3, Census Tract 5, Tompkins County, New York",583
1000000US361090005003002,"Block 3002, Block Group 3, Census Tract 5, Tompkins County, New York",70
1000000US361090005003003,"Block 3003, Block Group 3, Census Tract 5, Tompkins County, New York",31
1000000US361090005003004,"Block 3004, Block Group 3, Census Tract 5, Tompkins County, New York",99
1000000US361090005003005,"Block 3005, Block Group 3, Census Tract 5, Tompkins County, New York",30
1000000US361090005003006,"Block 3006, Block Group 3, Census Tract 5, Tompkins County, New York",66
1000000US361090005003007,"Block 3007, Block Group 3, Census Tract 5, Tompkins County, New York",12
1000000US361090005003008,"Block 3008, Block Group 3, Census Tract 5, Tompkins County, New York",135
1000000US361090005003009,"Block 3009, Block Group 3, Census Tract 5, Tompkins County, New York",18
1000000US361090005003010,"Block 3010, Block Group 3, Census Tract 5, Tompkins County, New York",168
1000000US361090005003011,"Block 3011, Block Group 3, Census Tract 5, Tompkins County, New York",26
1000000US361090005003012,"Block 3012, Block Group 3, Census Tract 5, Tompkins County, New York",50
1000000US361090005003013,"Block 3013, Block Group 3, Census Tract 5, Tompkins County, New York",9
1000000US361090005003014,"Block 3014, Block Group 3, Census Tract 5, Tompkins County, New York",31
1000000US361090005003015,"Block 3015, Block Group 3, Census Tract 5, Tompkins County, New York",88
1000000US361090005003016,"Block 3016, Block Group 3, Census Tract 5, Tompkins County, New York",26
1000000US361090005003017,"Block 3017, Block Group 3, Census Tract 5, Tompkins County, New York",40
1000000US361090005003018,"Block 3018, Block Group 3, Census Tract 5, Tompkins County, New York",71
1000000US361090005003019,"Block 3019, Block Group 3, Census Tract 5, Tompkins County, New York",237
1000000US361090005003020,"Block 3020, Block Group 3, Census Tract 5, Tompkins County, New York",9
1000000US361090005003021,"Block 3021, Block Group 3, Census Tract 5, Tompkins County, New York",51
1000000US361090005003022,"Block 3022, Block Group 3, Census Tract 5, Tompkins County, New York",267
1000000US361090005003023,"Block 3023, Block Group 3, Census Tract 5, Tompkins County, New York",12
1000000US361090005003024,"Block 3024, Block Group 3, Census Tract 5, Tompkins County, New York",0
1000000US361090006001000,"Block 1000, Block Group 1, Census Tract 6, Tompkins County, New York",0
1000000US361090006001001,"Block 1001, Block Group 1, Census Tract 6, Tompkins County, New York",553
1000000US361090006001002,"Block 1002, Block Group 1, Census Tract 6, Tompkins County, New York",38
1000000US361090006001003,"Block 1003, Block Group 1, Census Tract 6, Tompkins County, New York",19
1000000US361090006001004,"Block 1004, Block Group 1, Census Tract 6, Tompkins County, New York",48
1000000US361090006001005,"Block 1005, Block Group 1, Census Tract 6, Tompkins County, New York",119
1000000US361090006001006,"Block 1006, Block Group 1, Census Tract 6, Tompkins County, New York",388
1000000US361090006001007,"Block 1007, Block Group 1, Census Tract 6, Tompkins County, New York",15
1000000US361090006001008,"Block 1008, Block Group 1, Census Tract 6, Tompkins County, New York",19
1000000US361090006001009,"Block 1009, Block Group 1, Census Tract 6, Tompkins County, New York",55
1000000US361090006001010,"Block 1010, Block Group 1, Census Tract 6, Tompkins County, New York",37
1000000US361090006001011,"Block 1011, Block Group 1, Census Tract 6, Tompkins County, New York",47
1000000US361090006001012,"Block 1012, Block Group 1, Census Tract 6, Tompkins County, New York",37
1000000US361090006001013,"Block 1013, Block Group 1, Census Tract 6, Tompkins County, New York",60
1000000US361090006001014,"Block 1014, Block Group 1, Census Tract 6, Tompkins County, New York",19
1000000US361090006001015,"Block 1015, Block Group 1, Census Tract 6, Tompkins County, New York",13
1000000US361090006001016,"Block 1016, Block Group 1, Census Tract 6, Tompkins County, New York",58
1000000US361090006001017,"Block 1017, Block Group 1, Census Tract 6, Tompkins County, New York",26
1000000US361090006001018,"Block 1018, Block Group 1, Census Tract 6, Tompkins County, New York",27
1000000US361090006001019,"Block 1019, Block Group 1, Census Tract 6, Tompkins County, New York",19
1000000US361090006001020,"Block 1020, Block Group 1, Census Tract 6, Tompkins County, New York",8
1000000US361090006001021,"Block 1021, Block Group 1, Census Tract 6, Tompkins County, New York",11
1000000US361090006002000,"Block 2000, Block Group 2, Census Tract 6, Tompkins County, New York",44
1000000US361090006002001,"Block 2001, Block Group 2, Census Tract 6, Tompkins County, New York",56
1000000US361090006002002,"Block 2002, Block Group 2, Census Tract 6, Tompkins County, New York",37
1000000US361090006002003,"Block 2003, Block Group 2, Census Tract 6, Tompkins County, New York",26
1000000US361090006002004,"Block 2004, Block Group 2, Census Tract 6, Tompkins County, New York",22
1000000US361090006002005,"Block 2005, Block Group 2, Census Tract 6, Tompkins County, New York",7
1000000US361090006002006,"Block 2006, Block Group 2, Census Tract 6, Tompkins County, New York",36
1000000US361090006002007,"Block 2007, Block Group 2, Census Tract 6, Tompkins County, New York",51
