placeId,cid,title,categoryName,temporarilyClosed,reviewsCount,permanentlyClosed,url,totalScore,location/lat,location/lng
ChIJI_Qa3Mh-0IkRUbsHTLPZnR8,2278216350617287505,Lindsay-Parsons Biodiversity Preserve,Nature preserve,False,45,False,"https://www.google.com/maps/place/Lindsay-Parsons+Biodiversity+Preserve/@42.3090696,-76.522146,17z/data=!3m1!4b1!4m6!3m5!1s0x89d07ec8dc1af423:0x1f9dd9b34c07bb51!8m2!3d42.3090696!4d-76.522146!16s%2Fg%2F11c2l122xj?hl=en&entry=ttu",4.7,42.3090696,-76.522146
ChIJlb44mOx42okRaA-nIYTxyig,2939427256615243624,Cornell Recreation Connection Park,Park,False,12,False,"https://www.google.com/maps/place/Cornell+Recreation+Connection+Park/@42.4681984,-76.4316052,17z/data=!3m1!4b1!4m6!3m5!1s0x89da78ec9838be95:0x28caf18421a70f68!8m2!3d42.4681984!4d-76.4316052!16s%2Fg%2F11g_8swqk?hl=en&entry=ttu",4.6,42.4681984,-76.4316052
ChIJyT_ziRp52okR0N1saBJIqgk,696448336280739280,Campbell Meadows Natural Area,Park,False,43,False,"https://www.google.com/maps/place/Campbell+Meadows+Natural+Area/@42.4770101,-76.4055282,17z/data=!3m1!4b1!4m6!3m5!1s0x89da791a89f33fc9:0x9aa4812686cddd0!8m2!3d42.4770101!4d-76.4055282!16s%2Fg%2F11g4cxqv7t?hl=en&entry=ttu",4.7,42.4770101,-76.4055282
ChIJ47eu8Lh52okROar4EmCQC0g,5191401737784175161,Cornell Recreation Connection Park,Nature preserve,False,0,False,"https://www.google.com/maps/place/Cornell+Recreation+Connection+Park/@42.4720189,-76.4307572,17z/data=!3m1!4b1!4m6!3m5!1s0x89da79b8f0aeb7e3:0x480b906012f8aa39!8m2!3d42.4720189!4d-76.4307572!16s%2Fg%2F11j6kxdkzx?hl=en&entry=ttu",,42.4720189,-76.4307572
ChIJp_5WuZWD0IkRc6k6A3Gy5qc,12098553647432640883,Small Pavillion and Pond,Park,False,1,False,"https://www.google.com/maps/place/Small+Pavillion+and+Pond/@42.4856523,-76.4633501,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08395b956fea7:0xa7e6b271033aa973!8m2!3d42.4856523!4d-76.4633501!16s%2Fg%2F11j01btg_f?hl=en&entry=ttu",5.0,42.4856523,-76.4633501
ChIJJQ5KIhl72okRUZhICwqzwj8,4594431425591679057,Dryden Rail Trail - Freeville Pavilion,Hiking area,False,19,False,"https://www.google.com/maps/place/Dryden+Rail+Trail+-+Freeville+Pavilion/@42.4975947,-76.3285232,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7b19224a0e25:0x3fc2b30a0b489851!8m2!3d42.4975947!4d-76.3285232!16s%2Fg%2F11fl5njfpr?hl=en&entry=ttu",4.6,42.4975947,-76.3285232
ChIJ1-I6iZZ62okR-3CIJlczQFg,6359139123248787707,Village Green,Park,False,2,False,"https://www.google.com/maps/place/Village+Green/@42.4908336,-76.2974524,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7a96893ae2d7:0x58403357268870fb!8m2!3d42.4908336!4d-76.2974524!16s%2Fg%2F1th57_42?hl=en&entry=ttu",5.0,42.4908336,-76.2974524
ChIJh46_wZaB0IkRlFr7hAWq4aA,11592733856510990996,Six Mile Creek Natural Area,City park,False,27,False,"https://www.google.com/maps/place/Six+Mile+Creek+Natural+Area/@42.4345764,-76.4869361,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08196c1bf8e87:0xa0e1aa0584fb5a94!8m2!3d42.4345764!4d-76.4869361!16s%2Fg%2F11c6_y4kjj?hl=en&entry=ttu",4.5,42.4345764,-76.4869361
ChIJC4WIPwuB0IkRyrDYrLXel6w,12436653767877243082,Titus Flats,Park,False,22,False,"https://www.google.com/maps/place/Titus+Flats/@42.4321897,-76.50673,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0810b3f88850b:0xac97deb5acd8b0ca!8m2!3d42.4321897!4d-76.50673!16s%2Fg%2F1tfwqyv8?hl=en&entry=ttu",3.8,42.4321897,-76.50673
ChIJrQnM6sqb0IkRqhYhVnSjYAE,99258911858693802,"Creekside Shelter, North Point",Park,False,0,False,"https://www.google.com/maps/place/Creekside+Shelter,+North+Point/@42.5474746,-76.5999433,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09bcaeacc09ad:0x160a374562116aa!8m2!3d42.5474746!4d-76.5999433!16s%2Fg%2F11rfphbc2f?hl=en&entry=ttu",,42.5474746,-76.5999433
ChIJSbZPS-mP0IkRsOjMQ6Ua39c,15555180935070410928,Pine Rose Farm LLC,Park,False,3,False,"https://www.google.com/maps/place/Pine+Rose+Farm+LLC/@42.4983669,-76.6637065,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08fe94b4fb649:0xd7df1aa543cce8b0!8m2!3d42.4983669!4d-76.6637065!16s%2Fg%2F11rfrnq6t0?hl=en&entry=ttu",5.0,42.4983669,-76.6637065
ChIJPRbk8ZKb0IkRD5lRhDbuVQk,672705637277341967,Taughannock Beach,Park,False,8,False,"https://www.google.com/maps/place/Taughannock+Beach/@42.5447493,-76.595863,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09b92f1e4163d:0x955ee368451990f!8m2!3d42.5447493!4d-76.595863!16s%2Fg%2F11nnzkvf3w?hl=en&entry=ttu",4.9,42.5447493,-76.595863
ChIJ2YhK79ec0IkRSMf1AxNiIx0,2099629685095122760,Lansing Town Ball Fields,Park,False,12,False,"https://www.google.com/maps/place/Lansing+Town+Ball+Fields/@42.5378757,-76.5013714,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09cd7ef4a88d9:0x1d23621303f5c748!8m2!3d42.5378757!4d-76.5013714!16s%2Fg%2F1th82yb1?hl=en&entry=ttu",4.7,42.5378757,-76.5013714
ChIJzRKyO69_0IkR33BkDtV6lp0,11355398565949370591,West Danby Community Park,Park,False,0,False,"https://www.google.com/maps/place/West+Danby+Community+Park/@42.3254895,-76.5223693,17z/data=!3m1!4b1!4m6!3m5!1s0x89d07faf3bb212cd:0x9d967ad50e6470df!8m2!3d42.3254895!4d-76.5223693!16s%2Fg%2F11t2z3gsd7?hl=en&entry=ttu",,42.3254895,-76.5223693
ChIJ1VWUZcuA0IkR5nr_e5nMKuc,16657351131365604070,Allan H. Treman State Marine Park,State park,False,257,False,"https://www.google.com/maps/place/Allan+H.+Treman+State+Marine+Park/@42.4573166,-76.512653,17z/data=!3m1!4b1!4m6!3m5!1s0x89d080cb659455d5:0xe72acc997bff7ae6!8m2!3d42.4573166!4d-76.512653!16zL20vMDRfN3lt?hl=en&entry=ttu",4.7,42.4573166,-76.512653
ChIJC5s0bqKb0IkRuwIA4FqgPAk,665583157109588667,Rice Hill Sledding Hill,Park,False,7,False,"https://www.google.com/maps/place/Rice+Hill+Sledding+Hill/@42.5444557,-76.6124749,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09ba26e349b0b:0x93ca05ae00002bb!8m2!3d42.5444557!4d-76.6124749!16s%2Fg%2F11f7qz4zdk?hl=en&entry=ttu",5.0,42.5444557,-76.6124749
ChIJB1amspB_0IkRyrlPjC6k9JY,10877499519836076490,Dotson Park Hypar Gazebo,Park,False,0,False,"https://www.google.com/maps/place/Dotson+Park+Hypar+Gazebo/@42.3544451,-76.4801539,17z/data=!3m1!4b1!4m6!3m5!1s0x89d07f90b2a65607:0x96f4a42e8c4fb9ca!8m2!3d42.3544451!4d-76.4801539!16s%2Fg%2F11h6ry1ytq?hl=en&entry=ttu",,42.3544451,-76.4801539
ChIJ4ZLDgp6B0IkR_uIx2J2391Q,6122564106998375166,Стоянка 123,Park,False,1,False,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%BE%D1%8F%D0%BD%D0%BA%D0%B0+123/@42.4376034,-76.4990939,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819e82c392e1:0x54f7b79dd831e2fe!8m2!3d42.4376034!4d-76.4990939!16s%2Fg%2F11bw5m8bss?hl=en&entry=ttu",2.0,42.4376034,-76.4990939
ChIJe1ChAfaD0IkRpPd4Bjz7LQU,373230579366819748,Forest Home Park,Park,False,1,False,"https://www.google.com/maps/place/Forest+Home+Park/@42.4530684,-76.4699507,17z/data=!3m1!4b1!4m6!3m5!1s0x89d083f601a1507b:0x52dfb3c0678f7a4!8m2!3d42.4530684!4d-76.4699507!16s%2Fg%2F11y1cslr9z?hl=en&entry=ttu",5.0,42.4530684,-76.4699507
